activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OCC(C)C,CHEMBL79524,nM,200000.0,uM,200.0
,CCC(C)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL309192,nM,10000.0,uM,10.0
,CC[C@H](C)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL3220444,nM,9000.0,uM,9.0
,C=CC[C@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL311288,nM,1000.0,uM,1.0
,C=CC[C@@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81777,nM,3000.0,uM,3.0
,CCCCCCC[C@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL310004,nM,1000.0,uM,1.0
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OC1CCCCC1,CHEMBL51955,nM,60000.0,uM,60.0
,CC[C@@H](CC1CCCCC1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL430814,nM,16000.0,uM,16.0
,CC[C@@H](CCC1CCCCC1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL315261,nM,1000.0,uM,1.0
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1Oc1ccccc1,CHEMBL298659,nM,530000.0,uM,530.0
,CC[C@@H](Cc1ccccc1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL460452,nM,620000.0,uM,620.0
,CC[C@@H](CCc1ccccc1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81286,nM,300.0,uM,0.3
,CC[C@H](CCc1ccccc1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL79499,nM,12000.0,uM,12.0
