activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,C/C=C/C(=O)N[C@@H]1[C@@H](N)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956714,nM,4512.0,nM,4512.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H](N)[C@H]1NC(C)=O.[K+],CHEMBL1956715,nM,0.1,nM,0.1,Neuraminidase
,C=CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956716,nM,0.1,nM,0.1,Neuraminidase
,C=CC(=O)N[C@@H]1[C@@H](NCC(C)C)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956717,nM,28.1,nM,28.1,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,0.2,nM,0.2,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,36.1,nM,36.1,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,53.2,nM,53.2,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,2.9,nM,2.9,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,3.3,nM,3.3,Neuraminidase
,COc1ccc(O)c2c(=O)c3cc(O)ccc3oc12,CHEMBL484030,ug.mL-1,12.8,ug ml-1,12.8,Neuraminidase
,O=c1c2cc(O)ccc2oc2cccc(O)c12,CHEMBL389166,ug.mL-1,13.01,ug ml-1,13.01,Neuraminidase
,O=c1c2ccccc2oc2cc(O)cc(O)c12,CHEMBL388525,ug.mL-1,7.73,ug ml-1,7.73,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,0.02109,ng/ml,21.09,Neuraminidase
,O=c1c2cccc(O)c2oc2cc(O)c(O)c(O)c12,CHEMBL2029866,ug.mL-1,13.68,ug ml-1,13.68,Neuraminidase
,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,CHEMBL361025,ug.mL-1,13.41,ug ml-1,13.41,Neuraminidase
,COc1ccc(O)c2c(=O)c3cc(O)ccc3oc12,CHEMBL484030,ug.mL-1,9.33,ug ml-1,9.33,Neuraminidase
,O=c1c2cc(O)ccc2oc2cccc(O)c12,CHEMBL389166,ug.mL-1,11.54,ug ml-1,11.54,Neuraminidase
,O=c1c2ccccc2oc2cc(O)cc(O)c12,CHEMBL388525,ug.mL-1,11.15,ug ml-1,11.15,Neuraminidase
